Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived
6298de75c7f61e4f35cb0ab9,Khảo sát yêu cầu dự án,https://trello.com/c/HhKNQ9Ba/1-kh%E1%BA%A3o-s%C3%A1t-y%C3%AAu-c%E1%BA%A7u-d%E1%BB%B1-%C3%A1n,Trực tiếp gặp gỡ khách hàng trao đổi và xác định các yêu cầu.,Hoàn thành (green),,2022-05-01T02:00:00.000Z,0,,3,3,0,0,2022-06-02T17:09:42.632Z,62937f0b2721ec024ae3da63,QUẢN LÝ DỰ ÁN,62937f0b2721ec024ae3da62,Quản trị dự án,false
6298df3d3b48db3236002d94,Bắt đầu dự án,https://trello.com/c/aDRB6pAQ/2-b%E1%BA%AFt-%C4%91%E1%BA%A7u-d%E1%BB%B1-%C3%A1n,"Xác nhận dự án, phân công công việc cho thành viên tham gia dự án.
Phân chia thời gian hợp lí cho từng công việc.
",Hoàn thành (green),,2022-05-02T02:10:00.000Z,0,,0,0,0,0,2022-06-02T17:28:21.393Z,62937f0b2721ec024ae3da63,QUẢN LÝ DỰ ÁN,62937f0b2721ec024ae3da62,Quản trị dự án,false
6298df88f76139516c0ce262,Lập kế hoạch phạm vi dự án,https://trello.com/c/KEb15ZkJ/3-l%E1%BA%ADp-k%E1%BA%BF-ho%E1%BA%A1ch-ph%E1%BA%A1m-vi-d%E1%BB%B1-%C3%A1n,"Xác định phạm vi của dự án
Lựa chọn các công cụ thiết lập
Lập bảng phân chia công việc cho từng thành viên
",Hoàn thành (green),,2022-05-03T17:10:00.000Z,0,,8,8,0,0,2022-06-02T17:20:57.517Z,62937f0b2721ec024ae3da63,QUẢN LÝ DỰ ÁN,62937f0b2721ec024ae3da62,Quản trị dự án,false
6298e033cc792c1ddb1afc04,Viết báo cáo tổng kết dự án,https://trello.com/c/DWDtT8HN/4-vi%E1%BA%BFt-b%C3%A1o-c%C3%A1o-t%E1%BB%95ng-k%E1%BA%BFt-d%E1%BB%B1-%C3%A1n,"Viết báo cáo chi tiết yêu cầu của khách hàng, các công việc và phân chia công việc theo từng mốc thời gian,...",Hoàn thành (green),,2022-05-05T03:10:00.000Z,0,,0,0,0,0,2022-06-02T17:28:12.337Z,62937f0b2721ec024ae3da63,QUẢN LÝ DỰ ÁN,62937f0b2721ec024ae3da62,Quản trị dự án,false
6298f20e88bf6060c55c8f26,Đặc tả chi tiết yêu cầu khách hàng,https://trello.com/c/3b5ILNRv/11-%C4%91%E1%BA%B7c-t%E1%BA%A3-chi-ti%E1%BA%BFt-y%C3%AAu-c%E1%BA%A7u-kh%C3%A1ch-h%C3%A0ng,"Cùng các thành viên phân tích để  hiểu rõ và xác định chính xác các yêu cầu của khách hàng
Sau đó lên kế hoạch chi tiết thực hiện dự án
",Hoàn thành (green),,2022-05-05T11:00:00.000Z,0,,0,0,0,0,2022-06-02T17:31:23.298Z,62937f0b2721ec024ae3da64,PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG,62937f0b2721ec024ae3da62,Quản trị dự án,false
6298f22637cda729220e3d47,Mô tả hệ thống thông qua các biểu đồ Usecase và trình tự,https://trello.com/c/uihSxwHc/12-m%C3%B4-t%E1%BA%A3-h%E1%BB%87-th%E1%BB%91ng-th%C3%B4ng-qua-c%C3%A1c-bi%E1%BB%83u-%C4%91%E1%BB%93-usecase-v%C3%A0-tr%C3%ACnh-t%E1%BB%B1,"Phân tích hệ thống, vẽ các biểu đồ usecase, biểu đồ hoạt động, trình tự cho từng module. Sau đó dựa vào các biểu đồ trên để triển khai dự án.",Hoàn thành (green),,2022-05-10T11:00:00.000Z,0,,0,0,0,0,2022-06-02T17:32:45.055Z,62937f0b2721ec024ae3da64,PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG,62937f0b2721ec024ae3da62,Quản trị dự án,false
6298f486b9acaf4f3d708360,Thiết kế cơ sở dữ liệu,https://trello.com/c/RJEAY9Mh/22-thi%E1%BA%BFt-k%E1%BA%BF-c%C6%A1-s%E1%BB%9F-d%E1%BB%AF-li%E1%BB%87u,"Thiết kế cơ sở dữ liệu
Xác định các chức năng sẽ có của phần mềm, tạo các bảng liên kết các bảng trong cơ sở dữ liệu.",Hoàn thành (green),,2022-05-12T11:00:00.000Z,0,,0,0,0,0,2022-06-02T17:35:33.008Z,62937f0b2721ec024ae3da64,PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG,62937f0b2721ec024ae3da62,Quản trị dự án,false
6298f240bfbb1d022640743a,Thiết kế giao diện cho phần mềm,https://trello.com/c/gEnYtFpZ/14-thi%E1%BA%BFt-k%E1%BA%BF-giao-di%E1%BB%87n-cho-ph%E1%BA%A7n-m%E1%BB%81m,"Dựa vào yêu cầu của khách hàng, lên ý tưởng rồi thực hiện xây dựng giao diện phần mềm, theo từng chức năng của phần mềm",Hoàn thành (green),,2022-05-24T11:00:00.000Z,0,,9,9,0,0,2022-06-02T17:38:42.226Z,62937f0b2721ec024ae3da64,PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG,62937f0b2721ec024ae3da62,Quản trị dự án,false
6298f254b0fced42de6bf1f3,Viết bài phân tích chi tiết về hệ thống,https://trello.com/c/musf08WS/15-vi%E1%BA%BFt-b%C3%A0i-ph%C3%A2n-t%C3%ADch-chi-ti%E1%BA%BFt-v%E1%BB%81-h%E1%BB%87-th%E1%BB%91ng,Viết báo cáo chi tiết các phần đã thực hiện,Hoàn thành (green),,2022-05-25T11:00:00.000Z,0,,0,0,0,0,2022-06-02T17:39:24.448Z,62937f0b2721ec024ae3da64,PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG,62937f0b2721ec024ae3da62,Quản trị dự án,false
6298f2684608cf59a6df47bd,Phân tích yêu cầu cụ thể cho từng module,https://trello.com/c/ZJKd6EIo/16-ph%C3%A2n-t%C3%ADch-y%C3%AAu-c%E1%BA%A7u-c%E1%BB%A5-th%E1%BB%83-cho-t%E1%BB%ABng-module,"Xác định các module, phân tích các module , các yêu cầu, các chức năng...",Hoàn thành (green),,2022-05-08T11:00:00.000Z,0,,4,4,0,0,2022-06-02T17:42:48.125Z,62937f0b2721ec024ae3da65,MODULE THỐNG KÊ SẢN PHẨM,62937f0b2721ec024ae3da62,Quản trị dự án,false
